block_index,distance[cm],mac_address,n_measurements,sequence_number,session_handle,status
0,154,0x0001,1,0,1,SUCCESS
1,158,0x0001,1,1,1,SUCCESS
2,155,0x0001,1,2,1,SUCCESS
3,151,0x0001,1,3,1,SUCCESS
4,159,0x0001,1,4,1,SUCCESS
5,176,0x0001,1,5,1,SUCCESS
6,153,0x0001,1,6,1,SUCCESS
7,180,0x0001,1,7,1,SUCCESS
8,143,0x0001,1,8,1,SUCCESS
9,146,0x0001,1,9,1,SUCCESS
10,140,0x0001,1,10,1,SUCCESS
11,152,0x0001,1,11,1,SUCCESS
12,151,0x0001,1,12,1,SUCCESS
13,162,0x0001,1,13,1,SUCCESS
14,155,0x0001,1,14,1,SUCCESS
15,156,0x0001,1,15,1,SUCCESS
16,141,0x0001,1,16,1,SUCCESS
17,153,0x0001,1,17,1,SUCCESS
18,150,0x0001,1,18,1,SUCCESS
19,154,0x0001,1,19,1,SUCCESS
20,151,0x0001,1,20,1,SUCCESS
21,151,0x0001,1,21,1,SUCCESS
22,151,0x0001,1,22,1,SUCCESS
23,152,0x0001,1,23,1,SUCCESS
24,152,0x0001,1,24,1,SUCCESS
25,153,0x0001,1,25,1,SUCCESS
26,152,0x0001,1,26,1,SUCCESS
27,148,0x0001,1,27,1,SUCCESS
28,143,0x0001,1,28,1,SUCCESS
29,137,0x0001,1,29,1,SUCCESS
30,145,0x0001,1,30,1,SUCCESS
31,144,0x0001,1,31,1,SUCCESS
32,146,0x0001,1,32,1,SUCCESS
33,139,0x0001,1,33,1,SUCCESS
34,126,0x0001,1,34,1,SUCCESS
35,118,0x0001,1,35,1,SUCCESS
36,113,0x0001,1,36,1,SUCCESS
37,114,0x0001,1,37,1,SUCCESS
38,166,0x0001,1,38,1,SUCCESS
39,177,0x0001,1,39,1,SUCCESS
40,173,0x0001,1,40,1,SUCCESS
41,169,0x0001,1,41,1,SUCCESS
42,173,0x0001,1,42,1,SUCCESS
43,170,0x0001,1,43,1,SUCCESS
44,167,0x0001,1,44,1,SUCCESS
45,164,0x0001,1,45,1,SUCCESS
46,167,0x0001,1,46,1,SUCCESS
47,162,0x0001,1,47,1,SUCCESS
48,159,0x0001,1,48,1,SUCCESS
49,160,0x0001,1,49,1,SUCCESS
50,158,0x0001,1,50,1,SUCCESS
51,154,0x0001,1,51,1,SUCCESS
52,158,0x0001,1,52,1,SUCCESS
53,156,0x0001,1,53,1,SUCCESS
54,153,0x0001,1,54,1,SUCCESS
55,156,0x0001,1,55,1,SUCCESS
56,152,0x0001,1,56,1,SUCCESS
57,157,0x0001,1,57,1,SUCCESS
58,156,0x0001,1,58,1,SUCCESS
59,155,0x0001,1,59,1,SUCCESS
60,152,0x0001,1,60,1,SUCCESS
61,154,0x0001,1,61,1,SUCCESS
62,153,0x0001,1,62,1,SUCCESS
63,152,0x0001,1,63,1,SUCCESS
64,153,0x0001,1,64,1,SUCCESS
65,152,0x0001,1,65,1,SUCCESS
66,150,0x0001,1,66,1,SUCCESS
67,149,0x0001,1,67,1,SUCCESS
68,149,0x0001,1,68,1,SUCCESS
69,150,0x0001,1,69,1,SUCCESS
70,150,0x0001,1,70,1,SUCCESS
71,151,0x0001,1,71,1,SUCCESS
72,148,0x0001,1,72,1,SUCCESS
73,147,0x0001,1,73,1,SUCCESS
74,150,0x0001,1,74,1,SUCCESS
75,150,0x0001,1,75,1,SUCCESS
76,151,0x0001,1,76,1,SUCCESS
77,149,0x0001,1,77,1,SUCCESS
78,151,0x0001,1,78,1,SUCCESS
79,151,0x0001,1,79,1,SUCCESS
80,150,0x0001,1,80,1,SUCCESS
81,151,0x0001,1,81,1,SUCCESS
82,151,0x0001,1,82,1,SUCCESS
83,153,0x0001,1,83,1,SUCCESS
84,152,0x0001,1,84,1,SUCCESS
85,149,0x0001,1,85,1,SUCCESS
86,152,0x0001,1,86,1,SUCCESS
87,148,0x0001,1,87,1,SUCCESS
88,153,0x0001,1,88,1,SUCCESS
89,152,0x0001,1,89,1,SUCCESS
90,152,0x0001,1,90,1,SUCCESS
91,151,0x0001,1,91,1,SUCCESS
92,152,0x0001,1,92,1,SUCCESS
93,150,0x0001,1,93,1,SUCCESS
94,151,0x0001,1,94,1,SUCCESS
95,152,0x0001,1,95,1,SUCCESS
96,149,0x0001,1,96,1,SUCCESS
97,152,0x0001,1,97,1,SUCCESS
98,152,0x0001,1,98,1,SUCCESS
99,152,0x0001,1,99,1,SUCCESS
100,155,0x0001,1,100,1,SUCCESS
101,150,0x0001,1,101,1,SUCCESS
102,152,0x0001,1,102,1,SUCCESS
103,151,0x0001,1,103,1,SUCCESS
104,152,0x0001,1,104,1,SUCCESS
105,154,0x0001,1,105,1,SUCCESS
106,152,0x0001,1,106,1,SUCCESS
107,153,0x0001,1,107,1,SUCCESS
108,156,0x0001,1,108,1,SUCCESS
109,157,0x0001,1,109,1,SUCCESS
110,156,0x0001,1,110,1,SUCCESS
111,155,0x0001,1,111,1,SUCCESS
112,152,0x0001,1,112,1,SUCCESS
113,153,0x0001,1,113,1,SUCCESS
114,156,0x0001,1,114,1,SUCCESS
115,156,0x0001,1,115,1,SUCCESS
116,157,0x0001,1,116,1,SUCCESS
117,158,0x0001,1,117,1,SUCCESS
118,157,0x0001,1,118,1,SUCCESS
119,159,0x0001,1,119,1,SUCCESS
120,158,0x0001,1,120,1,SUCCESS
121,166,0x0001,1,121,1,SUCCESS
122,161,0x0001,1,122,1,SUCCESS
123,162,0x0001,1,123,1,SUCCESS
124,164,0x0001,1,124,1,SUCCESS
125,165,0x0001,1,125,1,SUCCESS
126,166,0x0001,1,126,1,SUCCESS
127,165,0x0001,1,127,1,SUCCESS
128,164,0x0001,1,128,1,SUCCESS
129,162,0x0001,1,129,1,SUCCESS
130,160,0x0001,1,130,1,SUCCESS
131,161,0x0001,1,131,1,SUCCESS
132,161,0x0001,1,132,1,SUCCESS
133,163,0x0001,1,133,1,SUCCESS
134,165,0x0001,1,134,1,SUCCESS
135,163,0x0001,1,135,1,SUCCESS
136,162,0x0001,1,136,1,SUCCESS
137,168,0x0001,1,137,1,SUCCESS
138,164,0x0001,1,138,1,SUCCESS
139,160,0x0001,1,139,1,SUCCESS
140,160,0x0001,1,140,1,SUCCESS
141,165,0x0001,1,141,1,SUCCESS
142,168,0x0001,1,142,1,SUCCESS
143,167,0x0001,1,143,1,SUCCESS
144,163,0x0001,1,144,1,SUCCESS
145,161,0x0001,1,145,1,SUCCESS
146,183,0x0001,1,146,1,SUCCESS
147,183,0x0001,1,147,1,SUCCESS
148,189,0x0001,1,148,1,SUCCESS
149,171,0x0001,1,149,1,SUCCESS
150,171,0x0001,1,150,1,SUCCESS
151,170,0x0001,1,151,1,SUCCESS
152,165,0x0001,1,152,1,SUCCESS
153,166,0x0001,1,153,1,SUCCESS
154,165,0x0001,1,154,1,SUCCESS
155,165,0x0001,1,155,1,SUCCESS
156,163,0x0001,1,156,1,SUCCESS
157,161,0x0001,1,157,1,SUCCESS
158,160,0x0001,1,158,1,SUCCESS
159,167,0x0001,1,159,1,SUCCESS
160,167,0x0001,1,160,1,SUCCESS
161,165,0x0001,1,161,1,SUCCESS
162,162,0x0001,1,162,1,SUCCESS
163,155,0x0001,1,163,1,SUCCESS
164,155,0x0001,1,164,1,SUCCESS
165,154,0x0001,1,165,1,SUCCESS
166,155,0x0001,1,166,1,SUCCESS
167,153,0x0001,1,167,1,SUCCESS
168,155,0x0001,1,168,1,SUCCESS
169,152,0x0001,1,169,1,SUCCESS
170,154,0x0001,1,170,1,SUCCESS
171,152,0x0001,1,171,1,SUCCESS
172,151,0x0001,1,172,1,SUCCESS
173,153,0x0001,1,173,1,SUCCESS
174,152,0x0001,1,174,1,SUCCESS
175,152,0x0001,1,175,1,SUCCESS
176,152,0x0001,1,176,1,SUCCESS
177,151,0x0001,1,177,1,SUCCESS
178,152,0x0001,1,178,1,SUCCESS
179,151,0x0001,1,179,1,SUCCESS
180,151,0x0001,1,180,1,SUCCESS
181,154,0x0001,1,181,1,SUCCESS
182,152,0x0001,1,182,1,SUCCESS
183,152,0x0001,1,183,1,SUCCESS
184,153,0x0001,1,184,1,SUCCESS
185,153,0x0001,1,185,1,SUCCESS
186,152,0x0001,1,186,1,SUCCESS
187,154,0x0001,1,187,1,SUCCESS
188,157,0x0001,1,188,1,SUCCESS
189,155,0x0001,1,189,1,SUCCESS
190,157,0x0001,1,190,1,SUCCESS
191,157,0x0001,1,191,1,SUCCESS
192,155,0x0001,1,192,1,SUCCESS
193,154,0x0001,1,193,1,SUCCESS
194,154,0x0001,1,194,1,SUCCESS
195,156,0x0001,1,195,1,SUCCESS
196,155,0x0001,1,196,1,SUCCESS
197,157,0x0001,1,197,1,SUCCESS
198,159,0x0001,1,198,1,SUCCESS
199,159,0x0001,1,199,1,SUCCESS
200,158,0x0001,1,200,1,SUCCESS
201,159,0x0001,1,201,1,SUCCESS
202,161,0x0001,1,202,1,SUCCESS
