block_index,distance[cm],mac_address,n_measurements,sequence_number,session_handle,status
0,123,0x0001,1,0,1,SUCCESS
1,121,0x0001,1,1,1,SUCCESS
2,126,0x0001,1,2,1,SUCCESS
3,125,0x0001,1,3,1,SUCCESS
4,125,0x0001,1,4,1,SUCCESS
5,123,0x0001,1,5,1,SUCCESS
6,122,0x0001,1,6,1,SUCCESS
7,123,0x0001,1,7,1,SUCCESS
8,124,0x0001,1,8,1,SUCCESS
9,127,0x0001,1,9,1,SUCCESS
10,122,0x0001,1,10,1,SUCCESS
11,127,0x0001,1,11,1,SUCCESS
12,122,0x0001,1,12,1,SUCCESS
13,122,0x0001,1,13,1,SUCCESS
14,125,0x0001,1,14,1,SUCCESS
15,122,0x0001,1,15,1,SUCCESS
16,120,0x0001,1,16,1,SUCCESS
17,125,0x0001,1,17,1,SUCCESS
18,121,0x0001,1,18,1,SUCCESS
19,122,0x0001,1,19,1,SUCCESS
20,117,0x0001,1,20,1,SUCCESS
21,120,0x0001,1,21,1,SUCCESS
22,119,0x0001,1,22,1,SUCCESS
23,116,0x0001,1,23,1,SUCCESS
24,113,0x0001,1,24,1,SUCCESS
25,111,0x0001,1,25,1,SUCCESS
26,113,0x0001,1,26,1,SUCCESS
27,116,0x0001,1,27,1,SUCCESS
28,116,0x0001,1,28,1,SUCCESS
29,117,0x0001,1,29,1,SUCCESS
30,118,0x0001,1,30,1,SUCCESS
31,122,0x0001,1,31,1,SUCCESS
32,120,0x0001,1,32,1,SUCCESS
33,120,0x0001,1,33,1,SUCCESS
34,117,0x0001,1,34,1,SUCCESS
35,118,0x0001,1,35,1,SUCCESS
36,117,0x0001,1,36,1,SUCCESS
37,115,0x0001,1,37,1,SUCCESS
38,116,0x0001,1,38,1,SUCCESS
39,115,0x0001,1,39,1,SUCCESS
40,114,0x0001,1,40,1,SUCCESS
41,113,0x0001,1,41,1,SUCCESS
42,113,0x0001,1,42,1,SUCCESS
43,110,0x0001,1,43,1,SUCCESS
44,113,0x0001,1,44,1,SUCCESS
45,113,0x0001,1,45,1,SUCCESS
46,113,0x0001,1,46,1,SUCCESS
47,114,0x0001,1,47,1,SUCCESS
48,117,0x0001,1,48,1,SUCCESS
49,114,0x0001,1,49,1,SUCCESS
50,114,0x0001,1,50,1,SUCCESS
51,116,0x0001,1,51,1,SUCCESS
52,116,0x0001,1,52,1,SUCCESS
53,116,0x0001,1,53,1,SUCCESS
54,117,0x0001,1,54,1,SUCCESS
55,119,0x0001,1,55,1,SUCCESS
56,117,0x0001,1,56,1,SUCCESS
57,116,0x0001,1,57,1,SUCCESS
58,116,0x0001,1,58,1,SUCCESS
59,116,0x0001,1,59,1,SUCCESS
60,110,0x0001,1,60,1,SUCCESS
61,114,0x0001,1,61,1,SUCCESS
62,118,0x0001,1,62,1,SUCCESS
63,118,0x0001,1,63,1,SUCCESS
64,116,0x0001,1,64,1,SUCCESS
65,117,0x0001,1,65,1,SUCCESS
66,117,0x0001,1,66,1,SUCCESS
67,113,0x0001,1,67,1,SUCCESS
68,115,0x0001,1,68,1,SUCCESS
69,117,0x0001,1,69,1,SUCCESS
70,117,0x0001,1,70,1,SUCCESS
71,116,0x0001,1,71,1,SUCCESS
72,117,0x0001,1,72,1,SUCCESS
73,114,0x0001,1,73,1,SUCCESS
74,116,0x0001,1,74,1,SUCCESS
75,117,0x0001,1,75,1,SUCCESS
76,117,0x0001,1,76,1,SUCCESS
77,115,0x0001,1,77,1,SUCCESS
78,117,0x0001,1,78,1,SUCCESS
79,115,0x0001,1,79,1,SUCCESS
80,116,0x0001,1,80,1,SUCCESS
81,114,0x0001,1,81,1,SUCCESS
82,115,0x0001,1,82,1,SUCCESS
83,114,0x0001,1,83,1,SUCCESS
84,115,0x0001,1,84,1,SUCCESS
85,114,0x0001,1,85,1,SUCCESS
86,117,0x0001,1,86,1,SUCCESS
87,118,0x0001,1,87,1,SUCCESS
88,114,0x0001,1,88,1,SUCCESS
89,115,0x0001,1,89,1,SUCCESS
90,122,0x0001,1,90,1,SUCCESS
91,119,0x0001,1,91,1,SUCCESS
92,119,0x0001,1,92,1,SUCCESS
93,124,0x0001,1,93,1,SUCCESS
94,122,0x0001,1,94,1,SUCCESS
95,123,0x0001,1,95,1,SUCCESS
96,123,0x0001,1,96,1,SUCCESS
97,122,0x0001,1,97,1,SUCCESS
98,122,0x0001,1,98,1,SUCCESS
99,115,0x0001,1,99,1,SUCCESS
100,118,0x0001,1,100,1,SUCCESS
101,117,0x0001,1,101,1,SUCCESS
102,118,0x0001,1,102,1,SUCCESS
103,113,0x0001,1,103,1,SUCCESS
104,118,0x0001,1,104,1,SUCCESS
105,119,0x0001,1,105,1,SUCCESS
106,117,0x0001,1,106,1,SUCCESS
107,116,0x0001,1,107,1,SUCCESS
108,116,0x0001,1,108,1,SUCCESS
109,116,0x0001,1,109,1,SUCCESS
110,116,0x0001,1,110,1,SUCCESS
111,114,0x0001,1,111,1,SUCCESS
112,114,0x0001,1,112,1,SUCCESS
113,114,0x0001,1,113,1,SUCCESS
114,119,0x0001,1,114,1,SUCCESS
115,114,0x0001,1,115,1,SUCCESS
116,119,0x0001,1,116,1,SUCCESS
117,118,0x0001,1,117,1,SUCCESS
118,121,0x0001,1,118,1,SUCCESS
119,119,0x0001,1,119,1,SUCCESS
120,126,0x0001,1,120,1,SUCCESS
121,116,0x0001,1,121,1,SUCCESS
122,120,0x0001,1,122,1,SUCCESS
123,116,0x0001,1,123,1,SUCCESS
124,115,0x0001,1,124,1,SUCCESS
125,119,0x0001,1,125,1,SUCCESS
126,118,0x0001,1,126,1,SUCCESS
127,118,0x0001,1,127,1,SUCCESS
128,116,0x0001,1,128,1,SUCCESS
129,122,0x0001,1,129,1,SUCCESS
130,127,0x0001,1,130,1,SUCCESS
131,122,0x0001,1,131,1,SUCCESS
132,119,0x0001,1,132,1,SUCCESS
133,119,0x0001,1,133,1,SUCCESS
134,124,0x0001,1,134,1,SUCCESS
135,123,0x0001,1,135,1,SUCCESS
136,120,0x0001,1,136,1,SUCCESS
137,124,0x0001,1,137,1,SUCCESS
138,122,0x0001,1,138,1,SUCCESS
139,123,0x0001,1,139,1,SUCCESS
140,124,0x0001,1,140,1,SUCCESS
141,120,0x0001,1,141,1,SUCCESS
142,124,0x0001,1,142,1,SUCCESS
143,119,0x0001,1,143,1,SUCCESS
144,121,0x0001,1,144,1,SUCCESS
145,124,0x0001,1,145,1,SUCCESS
146,118,0x0001,1,146,1,SUCCESS
147,124,0x0001,1,147,1,SUCCESS
148,124,0x0001,1,148,1,SUCCESS
149,126,0x0001,1,149,1,SUCCESS
150,121,0x0001,1,150,1,SUCCESS
151,123,0x0001,1,151,1,SUCCESS
152,124,0x0001,1,152,1,SUCCESS
153,125,0x0001,1,153,1,SUCCESS
154,125,0x0001,1,154,1,SUCCESS
155,125,0x0001,1,155,1,SUCCESS
156,122,0x0001,1,156,1,SUCCESS
157,131,0x0001,1,157,1,SUCCESS
158,,0x0001,1,158,1,RX_TIMEOUT
159,124,0x0001,1,159,1,SUCCESS
160,131,0x0001,1,160,1,SUCCESS
161,125,0x0001,1,161,1,SUCCESS
162,126,0x0001,1,162,1,SUCCESS
163,129,0x0001,1,163,1,SUCCESS
164,126,0x0001,1,164,1,SUCCESS
165,126,0x0001,1,165,1,SUCCESS
166,127,0x0001,1,166,1,SUCCESS
167,122,0x0001,1,167,1,SUCCESS
168,122,0x0001,1,168,1,SUCCESS
169,123,0x0001,1,169,1,SUCCESS
170,120,0x0001,1,170,1,SUCCESS
171,122,0x0001,1,171,1,SUCCESS
172,122,0x0001,1,172,1,SUCCESS
173,120,0x0001,1,173,1,SUCCESS
174,120,0x0001,1,174,1,SUCCESS
175,121,0x0001,1,175,1,SUCCESS
176,121,0x0001,1,176,1,SUCCESS
177,122,0x0001,1,177,1,SUCCESS
178,124,0x0001,1,178,1,SUCCESS
179,122,0x0001,1,179,1,SUCCESS
180,122,0x0001,1,180,1,SUCCESS
181,121,0x0001,1,181,1,SUCCESS
182,122,0x0001,1,182,1,SUCCESS
183,123,0x0001,1,183,1,SUCCESS
