block_index,distance[cm],mac_address,n_measurements,sequence_number,session_handle,status
0,211,0x0001,1,0,1,SUCCESS
1,211,0x0001,1,1,1,SUCCESS
2,208,0x0001,1,2,1,SUCCESS
3,212,0x0001,1,3,1,SUCCESS
4,212,0x0001,1,4,1,SUCCESS
5,210,0x0001,1,5,1,SUCCESS
6,209,0x0001,1,6,1,SUCCESS
7,213,0x0001,1,7,1,SUCCESS
8,210,0x0001,1,8,1,SUCCESS
9,210,0x0001,1,9,1,SUCCESS
10,210,0x0001,1,10,1,SUCCESS
11,208,0x0001,1,11,1,SUCCESS
12,211,0x0001,1,12,1,SUCCESS
13,208,0x0001,1,13,1,SUCCESS
14,205,0x0001,1,14,1,SUCCESS
15,208,0x0001,1,15,1,SUCCESS
16,209,0x0001,1,16,1,SUCCESS
17,214,0x0001,1,17,1,SUCCESS
18,216,0x0001,1,18,1,SUCCESS
19,213,0x0001,1,19,1,SUCCESS
20,211,0x0001,1,20,1,SUCCESS
21,209,0x0001,1,21,1,SUCCESS
22,209,0x0001,1,22,1,SUCCESS
23,214,0x0001,1,23,1,SUCCESS
24,209,0x0001,1,24,1,SUCCESS
25,202,0x0001,1,25,1,SUCCESS
26,203,0x0001,1,26,1,SUCCESS
27,198,0x0001,1,27,1,SUCCESS
28,205,0x0001,1,28,1,SUCCESS
29,206,0x0001,1,29,1,SUCCESS
30,211,0x0001,1,30,1,SUCCESS
31,212,0x0001,1,31,1,SUCCESS
32,212,0x0001,1,32,1,SUCCESS
33,212,0x0001,1,33,1,SUCCESS
34,213,0x0001,1,34,1,SUCCESS
35,204,0x0001,1,35,1,SUCCESS
36,210,0x0001,1,36,1,SUCCESS
37,208,0x0001,1,37,1,SUCCESS
38,204,0x0001,1,38,1,SUCCESS
39,205,0x0001,1,39,1,SUCCESS
40,205,0x0001,1,40,1,SUCCESS
41,207,0x0001,1,41,1,SUCCESS
42,203,0x0001,1,42,1,SUCCESS
43,204,0x0001,1,43,1,SUCCESS
44,205,0x0001,1,44,1,SUCCESS
45,205,0x0001,1,45,1,SUCCESS
46,208,0x0001,1,46,1,SUCCESS
47,207,0x0001,1,47,1,SUCCESS
48,204,0x0001,1,48,1,SUCCESS
49,208,0x0001,1,49,1,SUCCESS
50,205,0x0001,1,50,1,SUCCESS
51,208,0x0001,1,51,1,SUCCESS
52,207,0x0001,1,52,1,SUCCESS
53,207,0x0001,1,53,1,SUCCESS
54,206,0x0001,1,54,1,SUCCESS
55,204,0x0001,1,55,1,SUCCESS
56,209,0x0001,1,56,1,SUCCESS
57,206,0x0001,1,57,1,SUCCESS
58,204,0x0001,1,58,1,SUCCESS
59,208,0x0001,1,59,1,SUCCESS
60,206,0x0001,1,60,1,SUCCESS
61,210,0x0001,1,61,1,SUCCESS
62,207,0x0001,1,62,1,SUCCESS
63,207,0x0001,1,63,1,SUCCESS
64,207,0x0001,1,64,1,SUCCESS
65,205,0x0001,1,65,1,SUCCESS
66,203,0x0001,1,66,1,SUCCESS
67,209,0x0001,1,67,1,SUCCESS
68,207,0x0001,1,68,1,SUCCESS
69,205,0x0001,1,69,1,SUCCESS
70,207,0x0001,1,70,1,SUCCESS
71,206,0x0001,1,71,1,SUCCESS
72,206,0x0001,1,72,1,SUCCESS
73,205,0x0001,1,73,1,SUCCESS
74,207,0x0001,1,74,1,SUCCESS
75,205,0x0001,1,75,1,SUCCESS
76,205,0x0001,1,76,1,SUCCESS
77,207,0x0001,1,77,1,SUCCESS
78,208,0x0001,1,78,1,SUCCESS
79,208,0x0001,1,79,1,SUCCESS
80,207,0x0001,1,80,1,SUCCESS
81,209,0x0001,1,81,1,SUCCESS
82,207,0x0001,1,82,1,SUCCESS
83,208,0x0001,1,83,1,SUCCESS
84,209,0x0001,1,84,1,SUCCESS
85,205,0x0001,1,85,1,SUCCESS
86,207,0x0001,1,86,1,SUCCESS
87,208,0x0001,1,87,1,SUCCESS
88,208,0x0001,1,88,1,SUCCESS
89,206,0x0001,1,89,1,SUCCESS
90,213,0x0001,1,90,1,SUCCESS
91,210,0x0001,1,91,1,SUCCESS
92,207,0x0001,1,92,1,SUCCESS
93,210,0x0001,1,93,1,SUCCESS
94,210,0x0001,1,94,1,SUCCESS
95,205,0x0001,1,95,1,SUCCESS
96,210,0x0001,1,96,1,SUCCESS
97,206,0x0001,1,97,1,SUCCESS
98,207,0x0001,1,98,1,SUCCESS
99,208,0x0001,1,99,1,SUCCESS
100,207,0x0001,1,100,1,SUCCESS
101,206,0x0001,1,101,1,SUCCESS
102,201,0x0001,1,102,1,SUCCESS
103,210,0x0001,1,103,1,SUCCESS
104,208,0x0001,1,104,1,SUCCESS
105,208,0x0001,1,105,1,SUCCESS
106,209,0x0001,1,106,1,SUCCESS
107,204,0x0001,1,107,1,SUCCESS
108,208,0x0001,1,108,1,SUCCESS
109,206,0x0001,1,109,1,SUCCESS
110,205,0x0001,1,110,1,SUCCESS
111,206,0x0001,1,111,1,SUCCESS
112,203,0x0001,1,112,1,SUCCESS
113,208,0x0001,1,113,1,SUCCESS
114,206,0x0001,1,114,1,SUCCESS
115,208,0x0001,1,115,1,SUCCESS
116,205,0x0001,1,116,1,SUCCESS
117,207,0x0001,1,117,1,SUCCESS
118,209,0x0001,1,118,1,SUCCESS
119,207,0x0001,1,119,1,SUCCESS
120,206,0x0001,1,120,1,SUCCESS
121,204,0x0001,1,121,1,SUCCESS
122,203,0x0001,1,122,1,SUCCESS
123,206,0x0001,1,123,1,SUCCESS
124,207,0x0001,1,124,1,SUCCESS
125,209,0x0001,1,125,1,SUCCESS
126,207,0x0001,1,126,1,SUCCESS
127,205,0x0001,1,127,1,SUCCESS
128,207,0x0001,1,128,1,SUCCESS
129,206,0x0001,1,129,1,SUCCESS
130,201,0x0001,1,130,1,SUCCESS
131,206,0x0001,1,131,1,SUCCESS
132,208,0x0001,1,132,1,SUCCESS
133,208,0x0001,1,133,1,SUCCESS
134,207,0x0001,1,134,1,SUCCESS
135,206,0x0001,1,135,1,SUCCESS
136,208,0x0001,1,136,1,SUCCESS
137,206,0x0001,1,137,1,SUCCESS
138,208,0x0001,1,138,1,SUCCESS
139,207,0x0001,1,139,1,SUCCESS
140,204,0x0001,1,140,1,SUCCESS
141,206,0x0001,1,141,1,SUCCESS
142,209,0x0001,1,142,1,SUCCESS
143,209,0x0001,1,143,1,SUCCESS
144,203,0x0001,1,144,1,SUCCESS
145,210,0x0001,1,145,1,SUCCESS
146,204,0x0001,1,146,1,SUCCESS
147,209,0x0001,1,147,1,SUCCESS
148,208,0x0001,1,148,1,SUCCESS
149,204,0x0001,1,149,1,SUCCESS
150,208,0x0001,1,150,1,SUCCESS
151,208,0x0001,1,151,1,SUCCESS
152,206,0x0001,1,152,1,SUCCESS
153,206,0x0001,1,153,1,SUCCESS
154,206,0x0001,1,154,1,SUCCESS
155,208,0x0001,1,155,1,SUCCESS
156,207,0x0001,1,156,1,SUCCESS
157,206,0x0001,1,157,1,SUCCESS
158,205,0x0001,1,158,1,SUCCESS
159,207,0x0001,1,159,1,SUCCESS
160,207,0x0001,1,160,1,SUCCESS
161,208,0x0001,1,161,1,SUCCESS
162,207,0x0001,1,162,1,SUCCESS
163,206,0x0001,1,163,1,SUCCESS
164,208,0x0001,1,164,1,SUCCESS
165,207,0x0001,1,165,1,SUCCESS
166,205,0x0001,1,166,1,SUCCESS
167,205,0x0001,1,167,1,SUCCESS
168,208,0x0001,1,168,1,SUCCESS
169,203,0x0001,1,169,1,SUCCESS
170,206,0x0001,1,170,1,SUCCESS
171,202,0x0001,1,171,1,SUCCESS
172,203,0x0001,1,172,1,SUCCESS
173,207,0x0001,1,173,1,SUCCESS
174,206,0x0001,1,174,1,SUCCESS
175,208,0x0001,1,175,1,SUCCESS
176,206,0x0001,1,176,1,SUCCESS
177,207,0x0001,1,177,1,SUCCESS
178,205,0x0001,1,178,1,SUCCESS
179,204,0x0001,1,179,1,SUCCESS
180,205,0x0001,1,180,1,SUCCESS
181,202,0x0001,1,181,1,SUCCESS
182,210,0x0001,1,182,1,SUCCESS
183,207,0x0001,1,183,1,SUCCESS
184,211,0x0001,1,184,1,SUCCESS
185,209,0x0001,1,185,1,SUCCESS
186,203,0x0001,1,186,1,SUCCESS
187,197,0x0001,1,187,1,SUCCESS
188,201,0x0001,1,188,1,SUCCESS
189,198,0x0001,1,189,1,SUCCESS
190,208,0x0001,1,190,1,SUCCESS
191,206,0x0001,1,191,1,SUCCESS
192,205,0x0001,1,192,1,SUCCESS
193,204,0x0001,1,193,1,SUCCESS
194,203,0x0001,1,194,1,SUCCESS
195,205,0x0001,1,195,1,SUCCESS
196,206,0x0001,1,196,1,SUCCESS
197,203,0x0001,1,197,1,SUCCESS
198,204,0x0001,1,198,1,SUCCESS
199,204,0x0001,1,199,1,SUCCESS
200,203,0x0001,1,200,1,SUCCESS
201,204,0x0001,1,201,1,SUCCESS
202,203,0x0001,1,202,1,SUCCESS
203,201,0x0001,1,203,1,SUCCESS
204,205,0x0001,1,204,1,SUCCESS
205,203,0x0001,1,205,1,SUCCESS
206,201,0x0001,1,206,1,SUCCESS
207,205,0x0001,1,207,1,SUCCESS
208,205,0x0001,1,208,1,SUCCESS
209,201,0x0001,1,209,1,SUCCESS
210,202,0x0001,1,210,1,SUCCESS
211,207,0x0001,1,211,1,SUCCESS
212,205,0x0001,1,212,1,SUCCESS
213,205,0x0001,1,213,1,SUCCESS
214,201,0x0001,1,214,1,SUCCESS
215,204,0x0001,1,215,1,SUCCESS
216,203,0x0001,1,216,1,SUCCESS
217,203,0x0001,1,217,1,SUCCESS
218,205,0x0001,1,218,1,SUCCESS
219,202,0x0001,1,219,1,SUCCESS
220,205,0x0001,1,220,1,SUCCESS
221,205,0x0001,1,221,1,SUCCESS
222,204,0x0001,1,222,1,SUCCESS
223,205,0x0001,1,223,1,SUCCESS
224,203,0x0001,1,224,1,SUCCESS
225,204,0x0001,1,225,1,SUCCESS
226,204,0x0001,1,226,1,SUCCESS
227,204,0x0001,1,227,1,SUCCESS
228,204,0x0001,1,228,1,SUCCESS
229,202,0x0001,1,229,1,SUCCESS
230,208,0x0001,1,230,1,SUCCESS
231,205,0x0001,1,231,1,SUCCESS
232,207,0x0001,1,232,1,SUCCESS
233,206,0x0001,1,233,1,SUCCESS
234,202,0x0001,1,234,1,SUCCESS
235,201,0x0001,1,235,1,SUCCESS
236,204,0x0001,1,236,1,SUCCESS
237,202,0x0001,1,237,1,SUCCESS
238,201,0x0001,1,238,1,SUCCESS
239,202,0x0001,1,239,1,SUCCESS
240,205,0x0001,1,240,1,SUCCESS
241,201,0x0001,1,241,1,SUCCESS
242,204,0x0001,1,242,1,SUCCESS
243,204,0x0001,1,243,1,SUCCESS
244,203,0x0001,1,244,1,SUCCESS
245,205,0x0001,1,245,1,SUCCESS
246,204,0x0001,1,246,1,SUCCESS
247,205,0x0001,1,247,1,SUCCESS
248,206,0x0001,1,248,1,SUCCESS
249,203,0x0001,1,249,1,SUCCESS
250,202,0x0001,1,250,1,SUCCESS
251,205,0x0001,1,251,1,SUCCESS
252,203,0x0001,1,252,1,SUCCESS
253,202,0x0001,1,253,1,SUCCESS
254,205,0x0001,1,254,1,SUCCESS
255,202,0x0001,1,255,1,SUCCESS
256,203,0x0001,1,256,1,SUCCESS
257,205,0x0001,1,257,1,SUCCESS
258,204,0x0001,1,258,1,SUCCESS
259,204,0x0001,1,259,1,SUCCESS
260,204,0x0001,1,260,1,SUCCESS
261,202,0x0001,1,261,1,SUCCESS
262,202,0x0001,1,262,1,SUCCESS
263,203,0x0001,1,263,1,SUCCESS
264,207,0x0001,1,264,1,SUCCESS
265,203,0x0001,1,265,1,SUCCESS
266,205,0x0001,1,266,1,SUCCESS
267,203,0x0001,1,267,1,SUCCESS
268,203,0x0001,1,268,1,SUCCESS
269,203,0x0001,1,269,1,SUCCESS
270,202,0x0001,1,270,1,SUCCESS
271,204,0x0001,1,271,1,SUCCESS
272,202,0x0001,1,272,1,SUCCESS
273,205,0x0001,1,273,1,SUCCESS
274,203,0x0001,1,274,1,SUCCESS
275,202,0x0001,1,275,1,SUCCESS
276,205,0x0001,1,276,1,SUCCESS
277,206,0x0001,1,277,1,SUCCESS
278,204,0x0001,1,278,1,SUCCESS
279,202,0x0001,1,279,1,SUCCESS
280,203,0x0001,1,280,1,SUCCESS
281,203,0x0001,1,281,1,SUCCESS
282,202,0x0001,1,282,1,SUCCESS
283,200,0x0001,1,283,1,SUCCESS
284,201,0x0001,1,284,1,SUCCESS
285,204,0x0001,1,285,1,SUCCESS
286,203,0x0001,1,286,1,SUCCESS
287,204,0x0001,1,287,1,SUCCESS
288,205,0x0001,1,288,1,SUCCESS
289,203,0x0001,1,289,1,SUCCESS
290,203,0x0001,1,290,1,SUCCESS
291,206,0x0001,1,291,1,SUCCESS
292,203,0x0001,1,292,1,SUCCESS
293,203,0x0001,1,293,1,SUCCESS
294,203,0x0001,1,294,1,SUCCESS
295,203,0x0001,1,295,1,SUCCESS
296,203,0x0001,1,296,1,SUCCESS
297,202,0x0001,1,297,1,SUCCESS
298,202,0x0001,1,298,1,SUCCESS
299,205,0x0001,1,299,1,SUCCESS
300,203,0x0001,1,300,1,SUCCESS
301,203,0x0001,1,301,1,SUCCESS
302,205,0x0001,1,302,1,SUCCESS
303,203,0x0001,1,303,1,SUCCESS
304,205,0x0001,1,304,1,SUCCESS
305,205,0x0001,1,305,1,SUCCESS
306,204,0x0001,1,306,1,SUCCESS
307,204,0x0001,1,307,1,SUCCESS
308,203,0x0001,1,308,1,SUCCESS
309,203,0x0001,1,309,1,SUCCESS
310,205,0x0001,1,310,1,SUCCESS
311,202,0x0001,1,311,1,SUCCESS
312,202,0x0001,1,312,1,SUCCESS
313,203,0x0001,1,313,1,SUCCESS
314,203,0x0001,1,314,1,SUCCESS
315,205,0x0001,1,315,1,SUCCESS
316,203,0x0001,1,316,1,SUCCESS
317,205,0x0001,1,317,1,SUCCESS
318,202,0x0001,1,318,1,SUCCESS
319,203,0x0001,1,319,1,SUCCESS
320,202,0x0001,1,320,1,SUCCESS
321,200,0x0001,1,321,1,SUCCESS
322,201,0x0001,1,322,1,SUCCESS
323,203,0x0001,1,323,1,SUCCESS
324,203,0x0001,1,324,1,SUCCESS
325,204,0x0001,1,325,1,SUCCESS
326,205,0x0001,1,326,1,SUCCESS
327,202,0x0001,1,327,1,SUCCESS
328,205,0x0001,1,328,1,SUCCESS
329,202,0x0001,1,329,1,SUCCESS
330,203,0x0001,1,330,1,SUCCESS
331,202,0x0001,1,331,1,SUCCESS
332,202,0x0001,1,332,1,SUCCESS
333,201,0x0001,1,333,1,SUCCESS
334,206,0x0001,1,334,1,SUCCESS
335,202,0x0001,1,335,1,SUCCESS
336,202,0x0001,1,336,1,SUCCESS
337,201,0x0001,1,337,1,SUCCESS
338,202,0x0001,1,338,1,SUCCESS
339,204,0x0001,1,339,1,SUCCESS
340,204,0x0001,1,340,1,SUCCESS
341,202,0x0001,1,341,1,SUCCESS
342,204,0x0001,1,342,1,SUCCESS
343,203,0x0001,1,343,1,SUCCESS
344,202,0x0001,1,344,1,SUCCESS
345,203,0x0001,1,345,1,SUCCESS
